Produced Date,Product ID,Employee ID,Produced Quantity,Total Quantity,Work Hours
2010-01-10,d1004,1004,63,90,7
2010-01-10,e1005,1005,72,92,6
2010-01-10,f1006,1006,68,98,6
2010-01-10,g1007,1007,64,95,4
2010-01-10,h1008,1008,73,93,6
2010-01-10,i1009,1009,82,97,8
2010-01-10,j1010,1010,64,99,6
2010-01-11,a1001,1001,74,94,6
2010-01-11,b1002,1002,84,99,7
2010-01-11,c1003,1003,65,96,6
2010-01-11,d1004,1004,85,94,4
2010-01-11,e1005,1005,73,94,4
2010-01-11,f1006,1006,76,91,4
2010-01-11,g1007,1007,81,95,8
2010-01-11,h1008,1008,60,100,5
2010-01-11,i1009,1009,78,96,7
2010-01-11,j1010,1010,62,95,6
2010-01-12,a1001,1001,76,90,5
2010-01-12,b1002,1002,88,97,4
2010-01-12,c1003,1003,74,92,5
2010-01-12,d1004,1004,80,96,4
2010-01-12,e1005,1005,85,93,4
2010-01-12,f1006,1006,68,97,4
2010-01-12,g1007,1007,88,96,8
2010-01-12,h1008,1008,67,98,7
2010-01-12,i1009,1009,89,97,8
2010-01-12,j1010,1010,88,91,7
2010-01-13,a1001,1001,63,100,7
2010-01-13,b1002,1002,64,93,6
2010-01-13,c1003,1003,73,98,4
2010-01-13,d1004,1004,88,92,7
2010-01-13,e1005,1005,75,95,4
2010-01-13,f1006,1006,65,95,8
2010-01-13,g1007,1007,86,94,4
2010-01-13,h1008,1008,80,91,7
2010-01-13,i1009,1009,86,96,4
2010-01-13,j1010,1010,85,100,4
2010-01-14,a1001,1001,87,98,7
2010-01-14,b1002,1002,62,96,5
2010-01-14,c1003,1003,64,97,5
2010-01-14,d1004,1004,87,100,4
2010-01-14,e1005,1005,76,100,4
2010-01-14,f1006,1006,62,99,6
2010-01-14,g1007,1007,61,95,6
2010-01-14,h1008,1008,88,95,8
2010-01-14,i1009,1009,68,95,8
2010-01-14,j1010,1010,77,97,7
2010-01-15,a1001,1001,63,98,6
2010-01-15,b1002,1002,74,98,5
2010-01-15,c1003,1003,63,95,5
2010-01-15,d1004,1004,61,93,8
2010-01-15,e1005,1005,80,92,4
2010-01-15,f1006,1006,79,99,5
2010-01-15,g1007,1007,77,93,7
2010-01-15,h1008,1008,83,95,7
2010-01-15,i1009,1009,83,97,5
2010-01-15,j1010,1010,88,91,4
2010-01-16,a1001,1001,78,100,8
2010-01-16,b1002,1002,84,90,8
2010-01-16,c1003,1003,75,92,5
2010-01-16,d1004,1004,88,94,5
2010-01-16,e1005,1005,67,97,7
2010-01-16,f1006,1006,60,94,5
2010-01-16,g1007,1007,62,91,7
2010-01-16,h1008,1008,76,90,4
2010-01-16,i1009,1009,64,97,5
2010-01-16,j1010,1010,62,96,7
2010-01-17,a1001,1001,82,97,7
2010-01-17,b1002,1002,61,92,4
2010-01-17,c1003,1003,71,90,6
2010-01-17,d1004,1004,84,90,4
2010-01-17,e1005,1005,60,98,7
2010-01-17,f1006,1006,80,91,8
2010-01-17,g1007,1007,80,92,5
2010-01-17,h1008,1008,80,93,8
2010-01-17,i1009,1009,73,99,8
2010-01-17,j1010,1010,84,94,4
2010-01-18,a1001,1001,85,99,5
2010-01-18,b1002,1002,73,97,8
2010-01-18,c1003,1003,67,90,6
2010-01-18,d1004,1004,80,98,7
2010-01-18,e1005,1005,60,94,7
2010-01-18,f1006,1006,82,100,8
2010-01-18,g1007,1007,79,96,6
2010-01-18,h1008,1008,83,99,4
2010-01-18,i1009,1009,85,90,4
2010-01-18,j1010,1010,69,100,4
2010-01-19,a1001,1001,75,96,5
2010-01-19,b1002,1002,77,91,6
2010-01-19,c1003,1003,86,93,7
2010-01-19,d1004,1004,70,98,4
2010-01-19,e1005,1005,79,95,4
2010-01-19,f1006,1006,69,95,6
2010-01-19,g1007,1007,80,98,5
2010-01-19,h1008,1008,72,95,5
2010-01-19,i1009,1009,62,92,7
2010-01-19,j1010,1010,72,93,5
2010-01-20,a1001,1001,62,100,8
2010-01-20,b1002,1002,85,99,6
2010-01-20,c1003,1003,79,95,7
2010-01-20,d1004,1004,71,94,6
2010-01-20,e1005,1005,87,92,7
2010-01-20,f1006,1006,66,93,7
2010-01-20,g1007,1007,64,94,7
2010-01-20,h1008,1008,75,91,8
2010-01-20,i1009,1009,64,91,7
2010-01-20,j1010,1010,77,90,4
2010-01-21,a1001,1001,85,90,7
2010-01-21,b1002,1002,71,92,4
2010-01-21,c1003,1003,82,90,8
2010-01-21,d1004,1004,83,94,5
2010-01-21,e1005,1005,77,95,8
2010-01-21,f1006,1006,64,91,6
2010-01-21,g1007,1007,64,96,5
2010-01-21,h1008,1008,71,90,5
2010-01-21,i1009,1009,67,92,8
2010-01-21,j1010,1010,77,93,7
2010-01-22,a1001,1001,88,99,8
2010-01-22,b1002,1002,64,99,5
2010-01-22,c1003,1003,64,97,4
2010-01-22,d1004,1004,62,90,6
2010-01-22,e1005,1005,63,93,6
2010-01-22,f1006,1006,74,95,6
2010-01-22,g1007,1007,62,90,8
2010-01-22,h1008,1008,77,98,6
2010-01-22,i1009,1009,79,90,7
2010-01-22,j1010,1010,88,94,4
2010-01-23,a1001,1001,87,97,4
2010-01-23,b1002,1002,80,96,6
2010-01-23,c1003,1003,83,97,7
2010-01-23,d1004,1004,82,98,6
2010-01-23,e1005,1005,72,92,5
2010-01-23,f1006,1006,84,99,5
2010-01-23,g1007,1007,85,91,5
2010-01-23,h1008,1008,61,99,4
2010-01-23,i1009,1009,69,93,6
2010-01-23,j1010,1010,83,98,4
2010-01-24,a1001,1001,73,95,6
2010-01-24,b1002,1002,77,100,5
2010-01-24,c1003,1003,82,94,7
2010-01-24,d1004,1004,83,96,7
2010-01-24,e1005,1005,74,91,5
2010-01-24,f1006,1006,73,90,8
2010-01-24,g1007,1007,64,93,6
2010-01-24,h1008,1008,75,93,6
2010-01-24,i1009,1009,84,100,7
2010-01-24,j1010,1010,67,90,7
2010-01-25,a1001,1001,81,96,5
2010-01-25,b1002,1002,61,99,8
2010-01-25,c1003,1003,70,100,4
2010-01-25,d1004,1004,72,100,7
2010-01-25,e1005,1005,68,97,6
2010-01-25,f1006,1006,71,91,8
2010-01-25,g1007,1007,78,96,6
2010-01-25,h1008,1008,88,91,5
2010-01-25,i1009,1009,81,97,8
2010-01-25,j1010,1010,62,95,7
2010-01-26,a1001,1001,76,95,6
2010-01-26,b1002,1002,60,100,7
2010-01-26,c1003,1003,88,100,4
2010-01-26,d1004,1004,66,98,8
2010-01-26,e1005,1005,70,100,8
2010-01-26,f1006,1006,83,90,8
2010-01-26,g1007,1007,69,97,8
2010-01-26,h1008,1008,77,96,4
2010-01-26,i1009,1009,77,91,5
2010-01-26,j1010,1010,81,96,4
2010-01-27,a1001,1001,86,92,6
2010-01-27,b1002,1002,73,93,8
2010-01-27,c1003,1003,72,94,8
2010-01-27,d1004,1004,78,99,8
2010-01-27,e1005,1005,79,99,7
2010-01-27,f1006,1006,68,91,8
2010-01-27,g1007,1007,76,90,5
2010-01-27,h1008,1008,82,91,8
2010-01-27,i1009,1009,73,100,6
2010-01-27,j1010,1010,84,92,6
2010-01-28,a1001,1001,76,91,7
2010-01-28,b1002,1002,81,90,6
2010-01-28,c1003,1003,74,93,8
2010-01-28,d1004,1004,84,93,4
2010-01-28,e1005,1005,69,92,8
2010-01-28,f1006,1006,87,90,8
2010-01-28,g1007,1007,85,97,4
2010-01-28,h1008,1008,64,95,8
2010-01-28,i1009,1009,70,93,4
2010-01-28,j1010,1010,79,99,5
2010-01-29,a1001,1001,65,97,4
2010-01-29,b1002,1002,64,97,5
2010-01-29,c1003,1003,83,92,8
2010-01-29,d1004,1004,75,96,4
2010-01-29,e1005,1005,81,93,7
2010-01-29,f1006,1006,68,93,4
2010-01-29,g1007,1007,71,94,5
2010-01-29,h1008,1008,87,95,4
2010-01-29,i1009,1009,82,97,7
2010-01-29,j1010,1010,61,91,4
2010-01-30,a1001,1001,83,100,4
2010-01-30,b1002,1002,80,91,8
2010-01-30,c1003,1003,77,93,5
2010-01-30,d1004,1004,66,96,5
2010-01-30,e1005,1005,79,96,8
2010-01-30,f1006,1006,66,93,7
2010-01-30,g1007,1007,86,92,7
2010-01-30,h1008,1008,84,100,5
2010-01-30,i1009,1009,74,100,8
2010-01-30,j1010,1010,70,98,6
2010-01-31,a1001,1001,83,95,8
2010-01-31,b1002,1002,89,98,8
2010-01-31,c1003,1003,81,91,6
2010-01-31,d1004,1004,85,93,8
2010-01-31,e1005,1005,83,99,6
2010-01-31,f1006,1006,74,96,4
2010-01-31,g1007,1007,84,100,5
2010-01-31,h1008,1008,76,90,6
2010-01-31,i1009,1009,89,94,8
2010-01-31,j1010,1010,89,91,5
2010-02-01,a1001,1001,89,99,8
2010-02-01,b1002,1002,72,98,8
2010-02-01,c1003,1003,60,93,7
2010-02-01,d1004,1004,84,92,7
2010-02-01,e1005,1005,85,96,4
2010-02-01,f1006,1006,63,97,8
2010-02-01,g1007,1007,82,93,4
2010-02-01,h1008,1008,71,90,5
2010-02-01,i1009,1009,87,100,7
2010-02-01,j1010,1010,80,90,7
2010-02-02,a1001,1001,65,100,8
2010-02-02,b1002,1002,78,95,7
2010-02-02,c1003,1003,82,90,6
2010-02-02,d1004,1004,78,94,5
2010-02-02,e1005,1005,70,98,7
2010-02-02,f1006,1006,84,98,7
2010-02-02,g1007,1007,76,92,8
2010-02-02,h1008,1008,87,90,4
2010-02-02,i1009,1009,84,92,4
2010-02-02,j1010,1010,75,97,7
2010-02-03,a1001,1001,72,100,8
2010-02-03,b1002,1002,60,91,4
2010-02-03,c1003,1003,83,96,6
2010-02-03,d1004,1004,77,92,6
2010-02-03,e1005,1005,85,94,7
2010-02-03,f1006,1006,81,97,4
2010-02-03,g1007,1007,84,98,5
2010-02-03,h1008,1008,87,94,5
2010-02-03,i1009,1009,64,99,8
2010-02-03,j1010,1010,77,98,8
2010-02-04,a1001,1001,63,97,6
2010-02-04,b1002,1002,71,93,4
2010-02-04,c1003,1003,82,100,8
2010-02-04,d1004,1004,70,99,8
2010-02-04,e1005,1005,65,92,4
2010-02-04,f1006,1006,64,99,7
2010-02-04,g1007,1007,82,94,6
2010-02-04,h1008,1008,70,91,5
2010-02-04,i1009,1009,86,98,5
2010-02-04,j1010,1010,66,94,8
2010-02-05,a1001,1001,73,99,7
2010-02-05,b1002,1002,85,91,5
2010-02-05,c1003,1003,75,99,7
2010-02-05,d1004,1004,86,93,5
2010-02-05,e1005,1005,86,97,8
2010-02-05,f1006,1006,81,100,4
2010-02-05,g1007,1007,74,98,8
2010-02-05,h1008,1008,75,92,5
2010-02-05,i1009,1009,70,95,6
2010-02-05,j1010,1010,72,94,8
2010-02-06,a1001,1001,60,100,7
2010-02-06,b1002,1002,84,99,6
2010-02-06,c1003,1003,79,98,6
2010-02-06,d1004,1004,65,95,4
2010-02-06,e1005,1005,77,91,7
2010-02-06,f1006,1006,60,98,7
2010-02-06,g1007,1007,77,94,7
2010-02-06,h1008,1008,70,94,8
2010-02-06,i1009,1009,64,90,6
2010-02-06,j1010,1010,82,93,6
2010-02-07,a1001,1001,81,90,8
2010-02-07,b1002,1002,70,95,8
2010-02-07,c1003,1003,70,93,5
2010-02-07,d1004,1004,69,96,6
2010-02-07,e1005,1005,83,97,4
2010-02-07,f1006,1006,87,96,7
2010-02-07,g1007,1007,80,100,7
2010-02-07,h1008,1008,84,100,6
2010-02-07,i1009,1009,87,90,5
2010-02-07,j1010,1010,82,99,5
2010-02-08,a1001,1001,78,98,7
2010-02-08,b1002,1002,65,95,4
2010-02-08,c1003,1003,81,97,7
2010-02-08,d1004,1004,74,94,5
2010-02-08,e1005,1005,74,91,5
2010-02-08,f1006,1006,72,98,7
2010-02-08,g1007,1007,70,95,4
2010-02-08,h1008,1008,66,94,4
2010-02-08,i1009,1009,70,90,7
2010-02-08,j1010,1010,68,98,8
2010-02-09,a1001,1001,80,90,6
2010-02-09,b1002,1002,76,91,7
2010-02-09,c1003,1003,80,93,7
2010-02-09,d1004,1004,64,95,8
2010-02-09,e1005,1005,82,96,7
2010-02-09,f1006,1006,72,96,4
2010-02-09,g1007,1007,74,90,4
2010-02-09,h1008,1008,89,94,8
2010-02-09,i1009,1009,71,96,7
2010-02-09,j1010,1010,67,96,7
2010-02-10,a1001,1001,74,92,6
2010-02-10,b1002,1002,83,96,7
2010-02-10,c1003,1003,78,92,8
2010-02-10,d1004,1004,87,91,7
2010-02-10,e1005,1005,78,100,4
2010-02-10,f1006,1006,64,99,4
2010-02-10,g1007,1007,61,99,8
2010-02-10,h1008,1008,83,99,4
2010-02-10,i1009,1009,86,100,8
2010-02-10,j1010,1010,67,96,4
2010-02-11,a1001,1001,74,92,8
2010-02-11,b1002,1002,60,99,8
2010-02-11,c1003,1003,82,91,5
2010-02-11,d1004,1004,81,100,8
2010-02-11,e1005,1005,86,95,7
2010-02-11,f1006,1006,64,94,7
2010-02-11,g1007,1007,82,100,5
2010-02-11,h1008,1008,67,96,6
2010-02-11,i1009,1009,72,99,8
2010-02-11,j1010,1010,62,100,8
2010-02-12,a1001,1001,66,92,8
2010-02-12,b1002,1002,62,97,4
2010-02-12,c1003,1003,69,98,5
2010-02-12,d1004,1004,82,97,8
2010-02-12,e1005,1005,86,96,7
2010-02-12,f1006,1006,77,96,5
2010-02-12,g1007,1007,62,99,4
2010-02-12,h1008,1008,60,98,4
2010-02-12,i1009,1009,71,98,7
2010-02-12,j1010,1010,74,100,8
2010-02-13,a1001,1001,60,95,4
2010-02-13,b1002,1002,82,99,7
2010-02-13,c1003,1003,60,91,5
2010-02-13,d1004,1004,63,99,8
2010-02-13,e1005,1005,75,92,8
2010-02-13,f1006,1006,70,94,6
2010-02-13,g1007,1007,72,94,7
2010-02-13,h1008,1008,68,93,8
2010-02-13,i1009,1009,62,98,5
2010-02-13,j1010,1010,60,100,4
2010-02-14,a1001,1001,73,97,5
2010-02-14,b1002,1002,83,99,7
2010-02-14,c1003,1003,72,90,7
2010-02-14,d1004,1004,68,90,7
2010-02-14,e1005,1005,67,95,6
2010-02-14,f1006,1006,79,99,4
2010-02-14,g1007,1007,85,97,6
2010-02-14,h1008,1008,60,95,7
2010-02-14,i1009,1009,61,94,6
2010-02-14,j1010,1010,75,93,4
2010-02-15,a1001,1001,75,91,4
2010-02-15,b1002,1002,74,95,7
2010-02-15,c1003,1003,66,93,5
2010-02-15,d1004,1004,85,93,4
2010-02-15,e1005,1005,89,94,4
2010-02-15,f1006,1006,60,98,7
2010-02-15,g1007,1007,68,91,8
2010-02-15,h1008,1008,82,95,6
2010-02-15,i1009,1009,85,98,5
2010-02-15,j1010,1010,67,100,5
2010-02-16,a1001,1001,81,98,8
2010-02-16,b1002,1002,80,92,4
2010-02-16,c1003,1003,79,99,5
2010-02-16,d1004,1004,72,91,8
2010-02-16,e1005,1005,75,98,4
2010-02-16,f1006,1006,81,95,6
2010-02-16,g1007,1007,82,99,5
2010-02-16,h1008,1008,80,100,6
2010-02-16,i1009,1009,76,90,8
2010-02-16,j1010,1010,64,97,4
2010-02-17,a1001,1001,88,92,6
2010-02-17,b1002,1002,86,93,8
2010-02-17,c1003,1003,69,92,6
2010-02-17,d1004,1004,74,92,7
2010-02-17,e1005,1005,64,96,8
2010-02-17,f1006,1006,71,91,7
2010-02-17,g1007,1007,86,100,4
2010-02-17,h1008,1008,67,93,5
2010-02-17,i1009,1009,87,93,8
2010-02-17,j1010,1010,67,100,8
2010-02-18,a1001,1001,68,97,7
2010-02-18,b1002,1002,66,96,8
2010-02-18,c1003,1003,67,94,7
2010-02-18,d1004,1004,70,99,4
2010-02-18,e1005,1005,84,92,7
2010-02-18,f1006,1006,88,94,5
2010-02-18,g1007,1007,60,98,5
2010-02-18,h1008,1008,73,97,5
2010-02-18,i1009,1009,88,96,4
2010-02-18,j1010,1010,86,93,4
2010-02-19,a1001,1001,71,93,5
2010-02-19,b1002,1002,61,94,5
2010-02-19,c1003,1003,73,96,7
2010-02-19,d1004,1004,74,91,8
2010-02-19,e1005,1005,70,94,4
2010-02-19,f1006,1006,89,90,4
2010-02-19,g1007,1007,64,98,6
2010-02-19,h1008,1008,84,97,7
2010-02-19,i1009,1009,66,100,5
2010-02-19,j1010,1010,74,96,7
2010-02-20,a1001,1001,80,91,6
2010-02-20,b1002,1002,81,93,4
2010-02-20,c1003,1003,75,93,4
2010-02-20,d1004,1004,79,93,8
2010-02-20,e1005,1005,66,99,5
2010-02-20,f1006,1006,84,90,5
2010-02-20,g1007,1007,68,91,5
2010-02-20,h1008,1008,72,91,4
2010-02-20,i1009,1009,70,100,8
2010-02-20,j1010,1010,81,92,8
2010-02-21,a1001,1001,73,94,5
2010-02-21,b1002,1002,67,96,7
2010-02-21,c1003,1003,79,91,5
2010-02-21,d1004,1004,60,95,6
2010-02-21,e1005,1005,72,96,4
2010-02-21,f1006,1006,66,94,8
2010-02-21,g1007,1007,79,96,6
2010-02-21,h1008,1008,89,90,4
2010-02-21,i1009,1009,88,91,7
2010-02-21,j1010,1010,84,92,4
2010-02-22,a1001,1001,61,91,7
2010-02-22,b1002,1002,68,99,4
2010-02-22,c1003,1003,85,96,8
2010-02-22,d1004,1004,83,98,8
2010-02-22,e1005,1005,64,90,7
2010-02-22,f1006,1006,78,100,6
2010-02-22,g1007,1007,84,97,8
2010-02-22,h1008,1008,77,97,6
2010-02-22,i1009,1009,79,90,7
2010-02-22,j1010,1010,64,95,5
2010-02-23,a1001,1001,80,94,6
2010-02-23,b1002,1002,83,92,7
2010-02-23,c1003,1003,62,100,4
2010-02-23,d1004,1004,75,96,6
2010-02-23,e1005,1005,80,96,6
2010-02-23,f1006,1006,81,90,7
2010-02-23,g1007,1007,82,97,5
2010-02-23,h1008,1008,61,91,5
2010-02-23,i1009,1009,87,92,6
2010-02-23,j1010,1010,80,95,6
2010-02-24,a1001,1001,71,100,6
2010-02-24,b1002,1002,60,99,5
2010-02-24,c1003,1003,66,96,4
2010-02-24,d1004,1004,82,94,5
2010-02-24,e1005,1005,86,99,6
2010-02-24,f1006,1006,71,98,6
2010-02-24,g1007,1007,85,97,6
2010-02-24,h1008,1008,70,90,7
2010-02-24,i1009,1009,60,92,8
2010-02-24,j1010,1010,68,94,4
2010-02-25,a1001,1001,69,99,6
2010-02-25,b1002,1002,64,97,5
2010-02-25,c1003,1003,73,94,6
2010-02-25,d1004,1004,69,93,6
2010-02-25,e1005,1005,76,96,8
2010-02-25,f1006,1006,66,98,5
2010-02-25,g1007,1007,69,92,8
2010-02-25,h1008,1008,82,92,8
2010-02-25,i1009,1009,79,98,8
2010-02-25,j1010,1010,72,93,5
2010-02-26,a1001,1001,68,100,5
2010-02-26,b1002,1002,74,96,8
2010-02-26,c1003,1003,81,94,8
2010-02-26,d1004,1004,77,96,8
2010-02-26,e1005,1005,86,94,6
2010-02-26,f1006,1006,61,97,8
2010-02-26,g1007,1007,71,99,6
2010-02-26,h1008,1008,72,100,7
2010-02-26,i1009,1009,68,97,4
2010-02-26,j1010,1010,80,90,6
2010-02-27,a1001,1001,89,95,6
2010-02-27,b1002,1002,82,94,8
2010-02-27,c1003,1003,88,94,7
2010-02-27,d1004,1004,76,99,7
2010-02-27,e1005,1005,72,92,7
2010-02-27,f1006,1006,80,99,4
2010-02-27,g1007,1007,71,100,7
2010-02-27,h1008,1008,64,99,6
2010-02-27,i1009,1009,68,90,7
2010-02-27,j1010,1010,71,97,4
2010-02-28,a1001,1001,69,100,6
2010-02-28,b1002,1002,63,95,6
2010-02-28,c1003,1003,73,91,4
2010-02-28,d1004,1004,88,91,7
2010-02-28,e1005,1005,73,95,5
2010-02-28,f1006,1006,73,93,6
2010-02-28,g1007,1007,86,93,5
2010-02-28,h1008,1008,73,94,6
2010-02-28,i1009,1009,72,92,7
2010-02-28,j1010,1010,60,96,7
2010-03-01,a1001,1001,76,95,6
2010-03-01,b1002,1002,60,98,4
2010-03-01,c1003,1003,77,91,8
2010-03-01,d1004,1004,77,99,6
2010-03-01,e1005,1005,72,92,5
2010-03-01,f1006,1006,68,97,6
2010-03-01,g1007,1007,75,100,6
2010-03-01,h1008,1008,81,93,6
2010-03-01,i1009,1009,61,92,5
2010-03-01,j1010,1010,78,90,8
2010-03-02,a1001,1001,65,94,6
2010-03-02,b1002,1002,81,96,8
2010-03-02,c1003,1003,61,91,5
2010-03-02,d1004,1004,65,95,6
2010-03-02,e1005,1005,69,91,4
2010-03-02,f1006,1006,84,92,6
2010-03-02,g1007,1007,69,93,6
2010-03-02,h1008,1008,87,92,5
2010-03-02,i1009,1009,86,99,8
2010-03-02,j1010,1010,82,97,7
2010-03-03,a1001,1001,88,90,4
2010-03-03,b1002,1002,80,94,4
2010-03-03,c1003,1003,72,95,7
2010-03-03,d1004,1004,60,90,8
2010-03-03,e1005,1005,78,97,7
2010-03-03,f1006,1006,78,97,8
2010-03-03,g1007,1007,79,98,5
2010-03-03,h1008,1008,60,100,7
2010-03-03,i1009,1009,73,93,4
2010-03-03,j1010,1010,64,93,5
2010-03-04,a1001,1001,78,100,8
2010-03-04,b1002,1002,61,92,4
2010-03-04,c1003,1003,84,98,5
2010-03-04,d1004,1004,70,91,6
2010-03-04,e1005,1005,81,94,6
2010-03-04,f1006,1006,78,90,8
2010-03-04,g1007,1007,74,90,7
2010-03-04,h1008,1008,84,100,4
2010-03-04,i1009,1009,70,92,6
2010-03-04,j1010,1010,62,91,4
2010-03-05,a1001,1001,82,96,8
2010-03-05,b1002,1002,60,92,6
2010-03-05,c1003,1003,87,97,6
2010-03-05,d1004,1004,86,90,6
2010-03-05,e1005,1005,60,91,5
2010-03-05,f1006,1006,67,91,6
2010-03-05,g1007,1007,81,90,8
2010-03-05,h1008,1008,67,99,6
2010-03-05,i1009,1009,62,91,5
2010-03-05,j1010,1010,61,100,8
2010-03-06,a1001,1001,75,95,8
2010-03-06,b1002,1002,84,100,6
2010-03-06,c1003,1003,85,92,5
2010-03-06,d1004,1004,62,94,5
2010-03-06,e1005,1005,76,93,4
2010-03-06,f1006,1006,75,99,6
2010-03-06,g1007,1007,78,92,6
2010-03-06,h1008,1008,88,90,6
2010-03-06,i1009,1009,84,97,6
2010-03-06,j1010,1010,64,96,7
2010-03-07,a1001,1001,72,100,7
2010-03-07,b1002,1002,71,100,7
2010-03-07,c1003,1003,86,96,5
2010-03-07,d1004,1004,83,92,6
2010-03-07,e1005,1005,64,94,5
2010-03-07,f1006,1006,77,92,5
2010-03-07,g1007,1007,75,98,4
2010-03-07,h1008,1008,79,94,4
2010-03-07,i1009,1009,75,92,8
2010-03-07,j1010,1010,88,100,5
2010-03-08,a1001,1001,63,91,6
2010-03-08,b1002,1002,87,95,6
2010-03-08,c1003,1003,78,99,5
2010-03-08,d1004,1004,61,100,4
2010-03-08,e1005,1005,73,92,6
2010-03-08,f1006,1006,80,93,4
2010-03-08,g1007,1007,79,92,8
2010-03-08,h1008,1008,67,92,5
2010-03-08,i1009,1009,74,96,7
2010-03-08,j1010,1010,89,97,8
2010-03-09,a1001,1001,77,96,6
2010-03-09,b1002,1002,77,90,6
2010-03-09,c1003,1003,77,97,4
2010-03-09,d1004,1004,82,90,4
2010-03-09,e1005,1005,87,94,6
2010-03-09,f1006,1006,89,98,8
2010-03-09,g1007,1007,86,97,4
2010-03-09,h1008,1008,78,95,4
2010-03-09,i1009,1009,82,98,8
2010-03-09,j1010,1010,74,94,5
2010-03-10,a1001,1001,69,96,4
2010-03-10,b1002,1002,62,100,4
2010-03-10,c1003,1003,68,95,4
2010-03-10,d1004,1004,81,91,5
2010-03-10,e1005,1005,80,92,5
2010-03-10,f1006,1006,83,100,8
2010-03-10,g1007,1007,76,92,4
2010-03-10,h1008,1008,77,90,7
2010-03-10,i1009,1009,84,92,6
2010-03-10,j1010,1010,77,92,7
2010-03-11,a1001,1001,63,99,5
2010-03-11,b1002,1002,87,91,5
2010-03-11,c1003,1003,88,94,8
2010-03-11,d1004,1004,82,90,8
2010-03-11,e1005,1005,68,95,5
2010-03-11,f1006,1006,71,99,6
